4,4,4,4,4,4,4,227,227,227,227,227,227,227,227,227,
4,255,255,255,255,255,4,227,227,227,227,227,227,227,227,227,
4,255,251,251,251,255,4,227,227,227,227,227,227,227,227,227,
4,255,251,245,245,251,255,4,227,227,227,227,227,227,227,227,
4,255,251,245,168,168,251,255,4,227,227,227,227,227,227,227,
4,255,255,251,168,68,168,251,255,4,227,227,227,227,227,227,
4,4,4,255,251,168,68,168,251,255,4,227,227,227,227,227,
227,227,227,4,255,251,168,68,68,251,255,4,227,4,227,227,
227,227,227,227,4,255,251,68,68,68,251,255,4,77,4,227,
227,227,227,227,227,4,255,251,68,68,68,68,250,77,4,227,
227,227,227,227,227,227,4,255,251,68,255,245,68,4,227,227,
227,227,227,227,227,227,227,4,255,68,245,168,4,227,227,227,
227,227,227,227,227,227,227,227,4,250,68,4,168,4,227,227,
227,227,227,227,227,227,227,4,77,77,4,227,4,245,4,227,
227,227,227,227,227,227,227,227,4,4,227,227,227,4,250,4,
227,227,227,227,227,227,227,227,227,227,227,227,227,227,4,4
